roi_num,x,y,z,MNI_Glasser_HCP_v1.0,Brainnetome_1.0,CA_ML_18_MNI,prop_overlap,retained,nvox_overlap,nvox_parcel,nvox_retained,mean,max,min
48,-35,21,4,Focus point:  L_Middle_Insular_Area,Focus point:  dIa_left,Focus point:  Left Insula Lobe,0.950920245398773,TRUE,310,326,310,9.3390916193685225,10.507575035095217,5.17376184463501
49,-40,1,11,Focus point:  L_Frontal_Opercular_Area_3,Focus point:  dId_left,Focus point:  Left Insula Lobe,0.6160714285714286,TRUE,138,224,138,7.922095758327539,9.442914009094238,5.17376184463501
50,-53,10,10,Focus point:  L_Rostral_Area_6,Focus point:  A6cvl_left,Focus point:  Left Inferior Frontal Gyrus (p. Opercularis),0.7570621468926554,TRUE,268,354,268,8.279131955175258,10.05337619781494,5.17376184463501
51,-34,39,30,Focus point:  L_Area_46,Focus point:  A9/46d_left,Focus point:  Left Middle Frontal Gyrus,0.5464982778415615,TRUE,476,871,476,5.85519091021113,6.482706069946289,5.17376184463501
52,-7,10,41,Focus point:  L_Area_p32_prime,Focus point:  A24cd_left,Focus point:  Left Middle Cingulate Cortex,0.9063444108761328,TRUE,300,331,300,8.768528588612874,10.808398246765137,5.17376184463501
53,-11,-36,47,Focus point:  L_Area_23c,Focus point:  A1/2/3ll_left,Focus point:  Left Middle Cingulate Cortex,0.6014492753623188,TRUE,249,414,249,7.55650842237664,9.48240852355957,5.17376184463501
54,-5,-5,62,Focus point:  L_Supplementary_And_Cingulate_Eye,Focus point:  A6m_left,Focus point:  Left SMA,0.9292307692307692,TRUE,302,325,302,8.794961954584185,10.626957893371582,5.17376184463501
63,-49,-41,47,Focus point:  L_Area_IntraParietal_2,Focus point:  A40rd_left,Focus point:  Left Inferior Parietal Lobule,0.9453551912568308,TRUE,173,183,173,8.885042446886183,9.724088668823242,5.17376184463501
70,-43,2,44,Focus point:  L_Premotor_Eye_Fields,Focus point:  IFJ_left,Focus point:  Left Precentral Gyrus,0.5227272727272727,TRUE,184,352,184,8.463389282641204,10.114871978759766,5.17376184463501
71,-11,-73,37,Focus point:  L_Parieto-Occipital_Sulcus_Area_2,Focus point:  dmPOS_left,Focus point:  Left Precuneus,0.5670731707317073,TRUE,186,328,186,7.805363590999316,9.687824249267578,5.17376184463501
73,-3,4,31,Focus point:  L_Area_33_prime,Focus point:  A24rv_left,Focus point:  Left Anterior Cingulate Cortex,0.7941176470588235,TRUE,81,102,81,8.320705896542396,9.603386878967283,5.17376184463501
83,-36,21,-14,Focus point:  L_Area_47s,Focus point:  A12/47o_left,Focus point:  Left Inferior Frontal Gyrus (p. Orbitalis),0.5401459854014599,TRUE,222,411,222,8.987863100326813,10.309768676757812,5.17376184463501
90,-6,28,25,Focus point:  L_Anterior_24_prime,Focus point:  A32p_left,Focus point:  Left Anterior Cingulate Cortex,0.7541899441340782,TRUE,270,358,270,8.394118875927395,10.456548690795898,5.17376184463501
92,-5,31,42,Focus point:  L_Area_8BM,Focus point:  A9m_left,Focus point:  Left Superior Medial Gyrus,0.5347985347985348,TRUE,292,546,292,8.266050098693533,10.688337326049805,5.17376184463501
103,27,-70,-12,Focus point:  R_VentroMedial_Visual_Area_3,Focus point:  A37mv_right,Focus point:  Right Fusiform Gyrus,0.6548223350253807,TRUE,387,591,387,7.559490532838097,8.741471290588379,5.17376184463501
110,22,-60,8,Focus point:  R_Second_Visual_Area,Focus point:  dmPOS_right,Focus point:  Right Calcarine Gyrus,0.642570281124498,TRUE,160,249,160,7.910033169388771,10.109915733337402,5.17376184463501
113,11,-74,25,* Within 2 mm: R_Second_Visual_Area,Focus point:  vmPOS_right,Focus point:  Right Cuneus,0.5076530612244898,TRUE,199,392,199,8.102478691081904,10.002525329589844,5.17376184463501
115,31,-76,31,Focus point:  R_Area_IntraParietal_0,Focus point:  lsOccG_right,Focus point:  Right Middle Occipital Gyrus,0.6556473829201102,TRUE,238,363,238,8.129759013151922,9.935961723327637,5.17376184463501
123,9,-15,43,Focus point:  R_Area_23c,Focus point:  A23c_right,Focus point:  Right Middle Cingulate Cortex,0.75,TRUE,114,152,114,7.169657920536242,8.9477996826171875,5.17376184463501
124,49,-23,52,Focus point:  R_Area_2,Focus point:  A2_right,Focus point:  Right Postcentral Gyrus,0.5669291338582677,TRUE,216,381,216,7.678272245106874,9.248581886291504,5.17376184463501
126,6,-12,51,Focus point:  R_Dorsal_Area_24d,Focus point:  A6m_right,Focus point:  Right Middle Cingulate Cortex,0.66796875,TRUE,171,256,171,8.029133138600846,10.318147659301758,5.17376184463501
128,31,-45,63,Focus point:  R_Area_7PC,Focus point:  A7pc_right,Focus point:  Right Postcentral Gyrus,0.5591715976331361,TRUE,189,338,189,7.381858729811572,9.024598121643066,5.17376184463501
131,21,-12,67,Focus point:  R_Area_6mp,Focus point:  A6cdl_right,Focus point:  Right Superior Frontal Gyrus,0.7106598984771574,TRUE,280,394,280,8.486860949652536,10.60745620727539,5.17376184463501
136,51,-62,9,Focus point:  R_Medial_Superior_Temporal_Area,Focus point:  A39c_right,Focus point:  Right Middle Temporal Gyrus,0.6767515923566879,TRUE,425,628,425,7.801878471374511,9.021490097045898,5.17376184463501
137,58,-20,36,Focus point:  R_Area_PFt,Focus point:  A40rd_right,Focus point:  Right Postcentral Gyrus,0.8936781609195402,TRUE,311,348,311,8.207876335769605,9.34377670288086,5.17376184463501
138,44,-41,47,Focus point:  R_Area_IntraParietal_2,Focus point:  A40rd_right,Focus point:  Right Inferior Parietal Lobule,0.9172185430463576,TRUE,277,302,277,8.202444976847955,9.144365310668944,5.17376184463501
139,38,-37,47,Focus point:  R_Anterior_IntraParietal_Area,Focus point:  A40rd_right,Focus point:  Right Inferior Parietal Lobule,0.8415300546448088,TRUE,308,366,308,8.29802368213604,9.19538402557373,5.17376184463501
140,15,-74,51,Focus point:  R_Dorsal_Transitional_Visual_Area,Focus point:  A7c_right,Focus point:  Right Superior Parietal Lobule,0.7660818713450293,TRUE,262,342,262,8.99989274075923,10.02130889892578,5.17376184463501
141,32,-55,50,Focus point:  R_Area_Lateral_IntraParietal_ventral,Focus point:  A7ip_right,Focus point:  Right Inferior Parietal Lobule,0.84375,TRUE,189,224,189,8.103313266915618,9.1486663818359375,5.17376184463501
