id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,beta,alpha_transformed,beta_transformed,alpha_ffx,beta_ffx,alpha_transformed_ffx,beta_transformed_ffx
11298,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1303.27311218352,-1296.79429312291,-1298.79429312291,-1302.78575767002,0.0236747790768075,0.00564246029402063,3.40049296897584,0.501410611330996,29.9788750606216,-0.0317757272754725,3.3872178295224,0.492056736527223,29.5835312416137
11302,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1375.18015860465,-1368.31781358156,-1370.31781358156,-1374.30927812867,0.011420567247032,-1.89899178110418,2.76394278883132,0.130222627400627,15.8622613630268,-1.86988994344193,2.75292115475093,0.133554457507452,15.6883932380913
11304,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1363.8421944061,-1358.13829431958,-1360.13829431958,-1364.12975886669,0.0167666573557504,1.23508449304929,3.41501138995742,0.774707240330334,30.4172958772969,0.806476705068989,3.38601199091678,0.691358203762028,29.5478797768282
11305,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1409.9625104077,-1403.22778325286,-1405.22778325286,-1409.21924779996,0.0100123934912263,-2.05622113484875,2.72650606351696,0.113425277938024,15.279408366471,-1.98509604227202,2.71731793770509,0.120776644327837,15.1396622257622
11310,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1348.88361212963,-1341.46174916497,-1343.46174916497,-1347.45321371207,0.0225680847062433,-2.34324950596146,2.54619572629093,0.0876038354569311,12.758474612439,-2.28950886164514,2.5463011579043,0.0919955676680354,12.7598198299145
11311,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1264.46210331447,-1256.16341714176,-1258.16341714176,-1262.15488168887,0.0561105958860352,-2.25287377063409,2.60505671811003,0.0951018674461628,13.5319927900382,-2.22209337213886,2.59631811629694,0.097783966707575,13.4142572644675
11313,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1210.36869602201,-1202.53789990875,-1204.53789990875,-1208.52936445586,0.0473751163078673,-1.83783161511078,2.61343643996457,0.137307945519307,13.6458635621245,-1.80182437542335,2.60509239024738,0.141629129957197,13.5324755137535
11314,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1379.24863592704,-1375.08959153961,-1377.08959153961,-1381.08105608672,0.0136344788056936,3.59622078352583,3.49909615893522,0.973304988798904,33.0855343757399,1.54228611218491,3.45476866550208,0.823796812940056,31.6509658749991
11315,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1374.99164860676,-1370.72039571248,-1372.72039571248,-1376.71186025959,0.0167863667862137,5.41203487714759,3.23407879508702,0.995557275656009,25.3829780811936,2.80491131863888,3.21667803357588,0.942940646213442,24.9451155520651
11316,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1360.38145003905,-1356.12111000382,-1358.12111000382,-1362.11257455093,0.0180728975677853,5.18155302561237,3.47940576827069,0.994412127022562,32.4404392088949,2.36879881644861,3.4656835616541,0.91441690436866,31.9983251271727
11317,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1320.38955530383,-1312.82809212684,-1314.82809212684,-1318.81955667395,0.0307159209907145,-2.45367738305454,2.64298789457234,0.0791700448350989,14.0551361966154,-2.37860735625843,2.64465992694783,0.0848186063935288,14.0786564972506
11318,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1207.59501072155,-1199.96350743221,-1201.96350743221,-1205.95497197932,0.034248389773319,-2.08747366555181,2.56289064521302,0.110320289391548,12.9732642707987,-2.06536611586703,2.56048471940412,0.112508904756563,12.9420890771036
