id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,beta,alpha_transformed,beta_transformed
11265_20140923,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1583.63176733147,-1577.33356489249,-1579.33356489249,-1583.55614116056,0.040187039068158,5.81405086143731,2.99012493767688,0.997023573105896,19.888167117747
11274_20140528,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1634.74304036795,-1629.03141765859,-1631.03141765859,-1635.25399392666,0.0319147065604773,4.82060762166883,3.01153762050787,0.992002587165867,20.3186182422287
11275_20140620,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1781.79139749868,-1775.75579311658,-1777.75579311658,-1781.97836938465,0.0118427773951097,5.67777907783467,3.60031657119736,0.996590516233044,36.6098222246591
11277_20140519,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1691.39909240726,-1685.54725733761,-1687.54725733761,-1691.76983360568,0.0229131875466078,5.25942330113788,3.14868928237565,0.994828580887688,23.3054976265125
11278_20140505,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1356.12218440856,-1350.00860222219,-1352.00860222219,-1356.23117849026,0.109810141549868,3.49092624061064,2.56047450726793,0.970428487767773,12.9419569114021
11279_20140507,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1810.67465616025,-1805.39540501907,-1807.39540501907,-1811.61798128714,0.00752769787988461,4.33714213196436,3.69536472180081,0.987094881265118,40.2602537027791
11280_20140926,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-4.4308782452926,-3.69660537503237,-5.69660537503237,-9.91918164310374,0.998015784143028,-3.00988866713496,-2.26295211802145,0.0469811302338488,0.104042884068333
11282_20141030,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1584.80057893826,-1576.9245119853,-1578.9245119853,-1583.14708825337,0.0323866133689682,-1.87358153866266,2.73800779938644,0.133127852313239,15.4561626275935
11287_20140522,mmclock_meg,fixed,6,h_sceptic_fixed_fmri,g_sceptic,-1248.39043741328,-1243.08213245926,-1245.08213245926,-1249.01702665487,0.0278606141592633,3.52220481146471,3.23838594418255,0.971313002939563,25.4925421372588
11288_20140711,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1614.93824848569,-1609.24309957392,-1611.24309957392,-1615.46567584199,0.0312966442179662,4.65908515665924,3.02931158346348,0.990613808657716,20.6829891754781
11302_20140826,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1763.23269369642,-1756.59881874417,-1758.59881874417,-1762.82139501224,0.00833470820517246,-2.18370045751373,2.66925949406827,0.101223772308903,14.4292802680561
11304_20140722,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1546.93376859529,-1540.90186043473,-1542.90186043473,-1547.1244367028,0.0457963927972149,5.39202313372947,2.96002022740072,0.995467880438211,19.2983621072585
11305_20140825,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1756.16799206499,-1748.9641282492,-1750.9641282492,-1755.18670451727,0.0152255072311683,-2.92165319694465,2.57913777282703,0.0510934895516911,13.1857641327338
11310_20140807,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1514.493223353,-1507.03619990236,-1509.03619990236,-1513.25877617043,0.0523704846683349,0.613602731526137,2.79297108913613,0.648762195163812,16.3294640933646
11311_20140808,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1775.41933519946,-1769.03552633373,-1771.03552633373,-1775.25810260181,0.0133470826828003,1.03055324749347,3.43738636814431,0.737023140340223,31.105553368388
11313_20141104,mmclock_meg,fixed,7,h_sceptic_fixed_fmri,g_sceptic,-1447.47482093404,-1439.95086110253,-1441.95086110253,-1446.03990597798,0.0221885643928214,-1.65746542731884,2.88866415343125,0.160102526644129,17.9692893479173
11314_20141020,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1732.66960368128,-1725.28183429639,-1727.28183429639,-1731.50441056446,0.0135390349849882,-2.42621913275022,2.74635229336495,0.0811950828842871,15.5856760942344
11315_20140815,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1771.06596995735,-1765.37428256831,-1767.37428256831,-1771.59685883638,0.0142468544257396,4.87277627402371,3.51398492283291,0.992406018374192,33.5818224757961
